#,시군구명,소재지,면적,용도지역1,이용상황,주위환경,지세명,공시지가,X,Y
13317,노원구, 상계동 6지구BL 30-5,171.8,제2종일반주거지역,상업기타,노선 상가지대,평지,5200000,127.085062,37.675289
13318,노원구, 상계동 6지구BL 30-17,179.9,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,3460000,127.085062,37.675289
13319,노원구, 상계동 6지구BL 31-12,175.8,제2종일반주거지역,단독주택,정비된 주택지대,완경사지,2460000,127.085062,37.675289
13320,노원구, 상계동 6지구BL 32-13,185.3,제1종일반주거지역,단독주택,정비된 주택지대,완경사지,2310000,127.085062,37.675289
13321,노원구, 상계동 6지구BL 34-15,126.7,제1종일반주거지역,단독주택,정비된 주택지대,완경사지,2070000,127.085062,37.675289
13322,노원구, 상계동 6지구BL 35-12,187.2,제2종일반주거지역,주상용,주택 및 상가혼용지대,완경사지,3260000,127.085062,37.675289
13323,노원구, 상계동 6지구BL 37-12,267.1,제2종일반주거지역,상업용,노선 상가지대,평지,5100000,127.085062,37.675289
13324,노원구, 상계동 6지구BL 38-21,102.5,제2종일반주거지역,단독주택,정비된 주택지대,평지,2380000,127.085062,37.675289
13325,노원구, 상계동 6지구BL 40-24,226.8,제3종일반주거지역,주상용,정비된 주택지대,평지,3630000,127.085062,37.675289
13326,노원구, 상계동 6지구BL 51-4,97.6,제2종일반주거지역,주상용,노선 상가지대,평지,4510000,127.085062,37.675289
13327,노원구, 중계동 16-27,163,제2종일반주거지역,단독주택,주택재개발 예정지대,급경사지,1640000,127.089271,37.644372
13328,노원구, 중계동 17-13,304,제2종일반주거지역,단독주택,주택재개발 예정지대,완경사지,1740000,127.088639,37.644177
13330,노원구, 중계동 19-39,202,제2종일반주거지역,단독주택,주택재개발 예정지대,완경사지,1760000,127.086611,37.642342
13331,노원구, 중계동 20-9,138,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,2510000,127.084377,37.643424
13332,노원구, 중계동 20-27,176,제2종일반주거지역,단독주택,주택재개발 예정지대,완경사지,1740000,127.084675,37.643084
13333,노원구, 중계동 22-16,217,제2종일반주거지역,단독주택,주택재개발 예정지대,완경사지,1710000,127.086767,37.641604
13334,노원구, 중계동 23-1,163,제2종일반주거지역,단독주택,주택재개발 예정지대,완경사지,1710000,127.085505,37.641937
13335,노원구, 중계동 25-22,139,제2종일반주거지역,단독주택,주택재개발 예정지대,급경사지,1620000,127.085224,37.640826
13336,노원구, 중계동 25-34,163,제2종일반주거지역,단독주택,주택재개발 예정지대,급경사지,1640000,127.084069,37.640781
13337,노원구, 중계동 26-3,76,제2종일반주거지역,단독주택,주택재개발 예정지대,완경사지,1750000,127.083572,37.641552
13338,노원구, 중계동 27-24,169,제2종일반주거지역,상업용,후면 상가지대,평지,3060000,127.084302,37.643991
13339,노원구, 중계동 27-46,628,제2종일반주거지역,상업용,일반 상가지대,평지,3160000,127.08377,37.643869
13340,노원구, 중계동 29-7,142,제2종일반주거지역,단독주택,주택재개발 예정지대,완경사지,1640000,127.085111,37.642627
13341,노원구, 중계동 29-50,192,제2종일반주거지역,단독주택,주택재개발 예정지대,완경사지,1660000,127.084732,37.642174
13342,노원구, 중계동 41-9,298,제1종일반주거지역,단독주택,기존 주택지대,평지,1820000,127.084028,37.645043
13343,노원구, 중계동 55-21,165,제2종일반주거지역,주상용,후면 상가지대,평지,2410000,127.08279,37.648079
13344,노원구, 중계동 62-7,542,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,2810000,127.082109,37.646271
13345,노원구, 중계동 68-5,311,제3종일반주거지역,주상용,후면 상가지대,평지,2450000,127.083615,37.648247
13346,노원구, 중계동 75-5,247,제2종일반주거지역,다세대,일반 주택지대,평지,1950000,127.084516,37.649597
13347,노원구, 중계동 76-6,238,제2종일반주거지역,다세대,기존 주택지대,평지,2010000,127.083182,37.649379
13348,노원구, 중계동 78,8835.2,제3종일반주거지역,아파트,신구옥 혼성지대,평지,2820000,127.081988,37.648766
13349,노원구, 중계동 84-6,331,제2종일반주거지역,상업용,후면 상가지대,평지,2940000,127.081349,37.650041
13350,노원구, 중계동 84-59,256,제2종일반주거지역,주상용,후면 상가지대,평지,2720000,127.082267,37.650048
13351,노원구, 중계동 85-7,120,제3종일반주거지역,상업용,후면 상가지대,평지,3010000,127.08175,37.649647
13352,노원구, 중계동 90-18,180,제2종일반주거지역,단독주택,일반 주택지대,평지,1950000,127.083365,37.650164
13353,노원구, 중계동 94-4,450,제2종일반주거지역,주상용,신흥 주택지대,평지,2520000,127.082073,37.651037
13354,노원구, 중계동 107-28,170,제2종일반주거지역,다세대,신흥 주택지대,평지,2170000,127.083181,37.651262
13355,노원구, 중계동 107-44,182,제2종일반주거지역,주상용,신흥 주택지대,평지,2360000,127.081932,37.651433
13356,노원구, 중계동 110-4,198,제2종일반주거지역,다세대,일반 주택지대,평지,2110000,127.084178,37.651279
13358,노원구, 중계동 133-5,92,제3종일반주거지역,단독주택,기존 주택지대,평지,1940000,127.076426,37.661418
13359,노원구, 중계동 133-39,83,제3종일반주거지역,단독주택,기존 주택지대,평지,2000000,127.076192,37.661065
13360,노원구, 중계동 134-1,813,제3종일반주거지역,다세대,기존 주택지대,평지,2040000,127.076186,37.660632
13361,노원구, 중계동 140-1,179,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,2770000,127.075197,37.661787
13362,노원구, 중계동 140-37,56,제3종일반주거지역,주상용,주택 및 상가혼용지대,평지,3110000,127.074676,37.660882
13363,노원구, 중계동 140-41,190,제2종일반주거지역,단독주택,기존 주택지대,평지,2000000,127.074717,37.661189
13364,노원구, 중계동 141-6,218,제2종일반주거지역,상업용,역주변 상가지대,평지,3250000,127.074264,37.661167
13365,노원구, 중계동 141-32,196,제2종일반주거지역,상업용,역주변 상가지대,평지,3200000,127.073861,37.660785
13366,노원구, 중계동 142-43,102,제3종일반주거지역,단독주택,기존 주택지대,평지,2120000,127.074339,37.6606
13367,노원구, 중계동 147,206,제3종일반주거지역,주상용,일반 주택지대,평지,2300000,127.076294,37.660138
13368,노원구, 중계동 152-9,351,제3종일반주거지역,상업용,성숙중인 상가지대,평지,3880000,127.075621,37.659574
13369,노원구, 중계동 154-15,175,제3종일반주거지역,상업용,역주변 상가지대,평지,4200000,127.074071,37.660264
13370,노원구, 중계동 154-31,181,제2종일반주거지역,상업용,주택 및 상가혼용지대,평지,3420000,127.073794,37.659776
13371,노원구, 중계동 154-40,187,제2종일반주거지역,주상용,주택 및 상가혼용지대,평지,2630000,127.074294,37.659645
13372,노원구, 중계동 161-1,2894.6,제3종일반주거지역,아파트,아파트지대,평지,2750000,127.076699,37.65951
13373,노원구, 중계동 171-5,337,제2종일반주거지역,연립주택,일반 주택지대,평지,1990000,127.077268,37.660208
13374,노원구, 중계동 308-1,451,자연녹지지역,주거기타,성숙중인 주택지대,평지,1490000,127.080593,37.649737
13375,노원구, 중계동 311-22,279,제1종일반주거지역,주상용,후면 상가지대,평지,2500000,127.080598,37.646638
13376,노원구, 중계동 359-1,89931.6,제3종일반주거지역,아파트,아파트지대,평지,3340000,127.076012,37.652702
13377,노원구, 중계동 359-13,1138.4,준주거지역,업무용,아파트단지주변 상가지대,평지,6510000,127.07642,37.65093
